 INFO 2015-04-26 17:25:09,192 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item with invalid end url'
 INFO 2015-04-26 17:25:09,193 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Positive_Scenarios set
 INFO 2015-04-26 17:25:09,194 [main] (TestEngine.java:85) - Started executing Test Set :Set_Positive_Scenarios
 INFO 2015-04-26 17:25:09,194 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:25:13,207 [main] (HttpUtils.java:102) - java.net.UnknownHostException: us.battle.net
 INFO 2015-04-26 17:25:13,208 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Set'
 INFO 2015-04-26 17:25:13,209 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Negative_Scenarios set
 INFO 2015-04-26 17:25:13,210 [main] (TestEngine.java:85) - Started executing Test Set :Set_Negative_Scenarios
 INFO 2015-04-26 17:25:13,210 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:25:17,223 [main] (HttpUtils.java:102) - java.net.UnknownHostException: us.battle.net
 INFO 2015-04-26 17:25:17,224 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Set with blank Set ID'
 INFO 2015-04-26 17:25:17,225 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-26 17:27:48,486 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 17:27:48,683 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 17:27:48,684 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 17:27:48,814 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 17:27:48,816 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-26 17:27:48,816 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-26 17:27:48,817 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-26 17:27:48,818 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:27:53,349 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item'
 INFO 2015-04-26 17:27:53,351 [main] (TestEngine.java:79) - Total 3 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-26 17:27:53,352 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
